[2569/15552] Nouveau meilleur -> F1=0.929, MSE=18.63, score=-0.935  Params: {'kernel_size': 5, 'sigma': 2.0, 'poids_v': 0.9, 'dp': 1.2, 'param1': 100, 'param2': 80, 'minRadius': 30, 'maxRadius': 150, 'minDist': 30}
[3349/15552] Nouveau meilleur -> F1=0.921, MSE=18.55, score=-0.934  Params: {'kernel_size': 5, 'sigma': 2.5, 'poids_v': 0.9, 'dp': 1, 'param1': 100, 'param2': 60, 'minRadius': 20, 'maxRadius': 150, 'minDist': 30}
[3355/15552] Nouveau meilleur -> F1=0.909, MSE=18.33, score=-0.924  Params: {'kernel_size': 5, 'sigma': 2.5, 'poids_v': 0.9, 'dp': 1, 'param1': 100, 'param2': 60, 'minRadius': 25, 'maxRadius': 150, 'minDist': 30}
[3529/15552] Nouveau meilleur -> F1=0.932, MSE=18.19, score=-0.887  Params: {'kernel_size': 5, 'sigma': 2.5, 'poids_v': 0.9, 'dp': 1.2, 'param1': 100, 'param2': 80, 'minRadius': 20, 'maxRadius': 150, 'minDist': 30}
[6769/15552] Nouveau meilleur -> F1=0.936, MSE=17.61, score=-0.825  Params: {'kernel_size': 7, 'sigma': 2.0, 'poids_v': 1.0, 'dp': 1.2, 'param1': 100, 'param2': 80, 'minRadius': 20, 'maxRadius': 150, 'minDist': 30}
[14491/15552] Nouveau meilleur -> F1=0.947, MSE=17.65, score=-0.818  Params: {'kernel_size': 11, 'sigma': 2.0, 'poids_v': 1.0, 'dp': 1.2, 'param1': 80, 'param2': 80, 'minRadius': 20, 'maxRadius': 150, 'minDist': 30}
[15229/15552] Nouveau meilleur -> F1=0.955, MSE=17.65, score=-0.810  Params: {'kernel_size': 11, 'sigma': 2.5, 'poids_v': 1.0, 'dp': 1, 'param1': 50, 'param2': 60, 'minRadius': 20, 'maxRadius': 150, 'minDist': 30}
[15235/15552] Nouveau meilleur -> F1=0.951, MSE=17.41, score=-0.790  Params: {'kernel_size': 11, 'sigma': 2.5, 'poids_v': 1.0, 'dp': 1, 'param1': 50, 'param2': 60, 'minRadius': 25, 'maxRadius': 150, 'minDist': 30}

===== RÉSULTAT FINAL =====
Meilleur score : -0.790
Meilleurs paramètres : {'kernel_size': 11, 'sigma': 2.5, 'poids_v': 1.0, 'dp': 1, 'param1': 50, 'param2': 60, 'minRadius': 25, 'maxRadius': 150, 'minDist': 30}
